address,longitude,city,state,zip,Store,latitude
13301 State Line Rd MO 64145,-94.607394,Kansas City,MO,64145,McDonald's,38.886239164
5353 Nw 64th St MO 64151,-94.642221,Kansas City,MO,64151,McDonald's,39.209955165
6830 Nw 83rd Ter MO 64152,-94.659747,Kansas City,MO,64151,McDonald's,39.245669166
9551 N Mcgee St MO 64155,-94.576397,Kansas City,MO,64155,McDonald's,39.265413167
150 Nw Barry Rd MO 64155,-94.58272,Kansas City,MO,64155,McDonald's,39.247114168
9701 N Ash Ave MO 64157,-94.451153,Kansas City,MO,64157,McDonald's,39.26794169
9851 Ne Barry Rd MO 64157,-94.462488,Kansas City,MO,64158,McDonald's,39.244029170
8301 N Church Rd MO 64158,-94.459635,Kansas City,MO,64158,McDonald's,39.243107171
2210 N Baltimore St MO 63501,-92.582232,Kirksville,MO,63501,McDonald's,40.215056208
1401 S Baltimore St MO 63501,-92.572081,Kirksville,MO,63501,McDonald's,40.183588209
885 Robert Raymond Dr MO 63367,-90.782544,Lake Saint Louis,MO,63367,McDonald's,38.768727212
900 E Langsford Rd MO 64063,-94.361899,Lees Summit,MO,64063,McDonald's,38.917781220
1809 Blue Pkwy MO 64063,-94.338905,Lees Summit,MO,64063,McDonald's,38.903604221
901 Nw Chipman Rd MO 64063,-94.399091,Lees Summit,MO,64063,McDonald's,38.925345222
900 Ne Columbus St MO 64086,-94.359712,Lees Summit,MO,64086,McDonald's,38.92126223
1304 E Highway 24 MO 65270,-92.445983,Moberly,MO,65270,McDonald's,39.437961228
1501 N Morley St MO 65270,-92.433081,Moberly,MO,65270,McDonald's,39.434248229
3200 Lusk Dr MO 64850,-94.39427,Neosho,MO,64850,McDonald's,36.84171232
708 S Neosho Blvd MO 64850,-94.382068,Neosho,MO,64850,McDonald's,36.862898233
201 W Austin Blvd MO 64772,-94.358026,Nevada,MO,64772,McDonald's,37.837335236
4001 Crusher Dr MO 63304,-90.667522,Saint Charles,MO,63304,McDonald's,38.703508240
2144 W Terra Ln MO 63366,-90.769806,O Fallon,MO,63366,McDonald's,38.805288241
