id,strLocation,latitude,longitude,city,state,zip,Store
2701 N Main St MO 64801,1.0,37.114956,-94.50954399999999,Joplin,MO,64801,McDonald's
101 N Range Line Rd MO 64801,1.0,37.090685,-94.47699300000001,Joplin,MO,64801,McDonald's
1123 S Range Line Rd MO 64801,1.0,37.079136,-94.477335,Joplin,MO,64801,McDonald's
3330 N Range Line Rd MO 64801,1.0,37.118959000000004,-94.475985,Joplin,MO,64801,McDonald's
2731 S Main St MO 64804,1.0,37.060157000000004,-94.514191,Joplin,MO,64804,McDonald's
1501 S Range Line Rd MO 64804,0.84,37.073063,-94.477141,Joplin,MO,64804,McDonald's
4436 Highway 43 MO 64804,0.6,37.053437,-94.514813,Joplin,MO,64804,McDonald's
3140 Mc Clelland Blvd MO 64804,1.0,37.055898,-94.53275500000001,Joplin,MO,64804,McDonald's
1907 E 20th St MO 64804,1.0,37.069705,-94.493611,Joplin,MO,64804,McDonald's
1531 W 7th St MO 64801,0.9,37.084975,-94.53068499999999,Joplin,MO,64801,McDonald's
2701 N Main St MO 64801,1.0,37.114956,-94.50954399999999,Joplin,MO,64801,McDonald's
101 N Range Line Rd MO 64801,1.0,37.090685,-94.47699300000001,Joplin,MO,64801,McDonald's
1123 S Range Line Rd MO 64801,1.0,37.079136,-94.477335,Joplin,MO,64801,McDonald's
3330 N Range Line Rd MO 64801,1.0,37.118959000000004,-94.475985,Joplin,MO,64801,McDonald's
2731 S Main St MO 64804,1.0,37.060157000000004,-94.514191,Joplin,MO,64804,McDonald's
1501 S Range Line Rd MO 64804,0.84,37.073063,-94.477141,Joplin,MO,64804,McDonald's
4436 Highway 43 MO 64804,0.6,37.053437,-94.514813,Joplin,MO,64804,McDonald's
3140 Mc Clelland Blvd MO 64804,1.0,37.055898,-94.53275500000001,Joplin,MO,64804,McDonald's
1907 E 20th St MO 64804,1.0,37.069705,-94.493611,Joplin,MO,64804,McDonald's
1100 Main St MO 64105,1.0,39.100563,-94.583561,Kansas City,MO,64105,McDonald's
2301 Holmes St MO 64108,1.0,39.084213,-94.575255,Kansas City,MO,64108,McDonald's
3255 Main St MO 64111,1.0,39.066988,-94.585132,Kansas City,MO,64111,McDonald's
3741 Broadway St MO 64111,1.0,39.059615,-94.59045400000001,Kansas City,MO,64111,McDonald's
500 Nichols Rd MO 64112,1.0,39.041656,-94.59431500000001,Kansas City,MO,64112,McDonald's
7887 State Line Rd MO 64114,1.0,38.986046,-94.607744,Kansas City,MO,64114,McDonald's
1300 W 103rd St MO 64114,1.0,38.942316,-94.607303,Kansas City,MO,64114,McDonald's
8326 Wornall Rd MO 64114,1.0,38.976337,-94.59536,Kansas City,MO,64114,McDonald's
4002 N Oak Trfy MO 64116,1.0,39.167448,-94.57746800000001,Kansas City,MO,64116,McDonald's
2200 Vernon St MO 64116,1.0,39.146868,-94.55636700000001,Kansas City,MO,64116,McDonald's
4400 N Chouteau Trfy MO 64117,1.0,39.1731,-94.535263,Kansas City,MO,64117,McDonald's
7412 N Oak Trfy MO 64118,1.0,39.228559000000004,-94.576229,Kansas City,MO,64118,McDonald's
6305 N Antioch Rd MO 64119,1.0,39.20843,-94.54832900000001,Kansas City,MO,64119,McDonald's
290 Us 69 MO 64119,1.0,39.199958,-94.50003000000001,Kansas City,MO,64119,McDonald's
7207 N Hwy M1 MO 64119,0.3,39.227657,-94.545053,Kansas City,MO,64119,McDonald's
6701 E Front St MO 64120,1.0,39.129752,-94.503562,Kansas City,MO,64120,McDonald's
5347 Independence Ave MO 64124,1.0,39.10502,-94.519696,Kansas City,MO,64124,McDonald's
1421 Prospect Ave MO 64127,1.0,39.095496000000004,-94.551194,Kansas City,MO,64127,McDonald's
3051 Van Brunt Blvd MO 64128,1.0,39.069225,-94.520122,Kansas City,MO,64128,McDonald's
6996 Eastwood Trfy MO 64129,1.0,39.031296000000005,-94.503578,Kansas City,MO,64129,McDonald's
6406 Troost Ave MO 64131,1.0,39.011065,-94.575159,Kansas City,MO,64131,McDonald's
11290 Holmes Rd MO 64131,1.0,38.921490000000006,-94.584058,Kansas City,MO,64131,McDonald's
8304 Hickman Mills Dr MO 64132,1.0,38.975998,-94.55545699999999,Kansas City,MO,64132,McDonald's
8909 E Mo-350 MO 64133,1.0,38.997236,-94.478852,Kansas City,MO,64133,McDonald's
4398 E 115th St MO 64137,1.0,38.917303000000004,-94.537074,Kansas City,MO,64137,McDonald's
5620 E Bannister Rd MO 64137,1.0,38.95366,-94.525798,Kansas City,MO,64137,McDonald's
7700 E 87th St MO 64138,1.0,38.966649,-94.49867900000001,Raytown,MO,64138,McDonald's
13100 Mo-350 MO 64139,0.85,38.965678000000004,-94.42841700000001,Kansas City,MO,64138,McDonald's
13301 State Line Rd MO 64145,1.0,38.886239,-94.607394,Kansas City,MO,64145,McDonald's
5353 Nw 64th St MO 64151,1.0,39.209955,-94.64222099999999,Kansas City,MO,64151,McDonald's
6830 Nw 83rd Ter MO 64152,0.65,39.245669,-94.659747,Kansas City,MO,64151,McDonald's
9551 N Mcgee St MO 64155,1.0,39.265413,-94.576397,Kansas City,MO,64155,McDonald's
150 Nw Barry Rd MO 64155,1.0,39.247114,-94.58272,Kansas City,MO,64155,McDonald's
9701 N Ash Ave MO 64157,1.0,39.26794,-94.451153,Kansas City,MO,64157,McDonald's
9851 Ne Barry Rd MO 64157,0.85,39.244029,-94.46248800000001,Kansas City,MO,64158,McDonald's
8301 N Church Rd MO 64158,0.86,39.243107,-94.45963499999999,Kansas City,MO,64158,McDonald's
1100 Main St MO 64105,1.0,39.100563,-94.583561,Kansas City,MO,64105,McDonald's
2301 Holmes St MO 64108,1.0,39.084213,-94.575255,Kansas City,MO,64108,McDonald's
3255 Main St MO 64111,1.0,39.066988,-94.585132,Kansas City,MO,64111,McDonald's
3741 Broadway St MO 64111,1.0,39.059615,-94.59045400000001,Kansas City,MO,64111,McDonald's
500 Nichols Rd MO 64112,1.0,39.041656,-94.59431500000001,Kansas City,MO,64112,McDonald's
7887 State Line Rd MO 64114,1.0,38.986046,-94.607744,Kansas City,MO,64114,McDonald's
1300 W 103rd St MO 64114,1.0,38.942316,-94.607303,Kansas City,MO,64114,McDonald's
8326 Wornall Rd MO 64114,1.0,38.976337,-94.59536,Kansas City,MO,64114,McDonald's
4002 N Oak Trfy MO 64116,1.0,39.167448,-94.57746800000001,Kansas City,MO,64116,McDonald's
2200 Vernon St MO 64116,1.0,39.146868,-94.55636700000001,Kansas City,MO,64116,McDonald's
4400 N Chouteau Trfy MO 64117,1.0,39.1731,-94.535263,Kansas City,MO,64117,McDonald's
7412 N Oak Trfy MO 64118,1.0,39.228559000000004,-94.576229,Kansas City,MO,64118,McDonald's
6305 N Antioch Rd MO 64119,1.0,39.20843,-94.54832900000001,Kansas City,MO,64119,McDonald's
290 Us 69 MO 64119,1.0,39.199958,-94.50003000000001,Kansas City,MO,64119,McDonald's
7207 N Hwy M1 MO 64119,0.3,39.227657,-94.545053,Kansas City,MO,64119,McDonald's
6701 E Front St MO 64120,1.0,39.129752,-94.503562,Kansas City,MO,64120,McDonald's
5347 Independence Ave MO 64124,1.0,39.10502,-94.519696,Kansas City,MO,64124,McDonald's
1421 Prospect Ave MO 64127,1.0,39.095496000000004,-94.551194,Kansas City,MO,64127,McDonald's
3051 Van Brunt Blvd MO 64128,1.0,39.069225,-94.520122,Kansas City,MO,64128,McDonald's
6996 Eastwood Trfy MO 64129,1.0,39.031296000000005,-94.503578,Kansas City,MO,64129,McDonald's
6406 Troost Ave MO 64131,1.0,39.011065,-94.575159,Kansas City,MO,64131,McDonald's
11290 Holmes Rd MO 64131,1.0,38.921490000000006,-94.584058,Kansas City,MO,64131,McDonald's
8304 Hickman Mills Dr MO 64132,1.0,38.975998,-94.55545699999999,Kansas City,MO,64132,McDonald's
8909 E Mo-350 MO 64133,1.0,38.997236,-94.478852,Kansas City,MO,64133,McDonald's
4398 E 115th St MO 64137,1.0,38.917303000000004,-94.537074,Kansas City,MO,64137,McDonald's
5620 E Bannister Rd MO 64137,1.0,38.95366,-94.525798,Kansas City,MO,64137,McDonald's
7700 E 87th St MO 64138,1.0,38.966649,-94.49867900000001,Raytown,MO,64138,McDonald's
13100 Mo-350 MO 64139,0.85,38.965678000000004,-94.42841700000001,Kansas City,MO,64138,McDonald's
13301 State Line Rd MO 64145,1.0,38.886239,-94.607394,Kansas City,MO,64145,McDonald's
5353 Nw 64th St MO 64151,1.0,39.209955,-94.64222099999999,Kansas City,MO,64151,McDonald's
6830 Nw 83rd Ter MO 64152,0.65,39.245669,-94.659747,Kansas City,MO,64151,McDonald's
9551 N Mcgee St MO 64155,1.0,39.265413,-94.576397,Kansas City,MO,64155,McDonald's
150 Nw Barry Rd MO 64155,1.0,39.247114,-94.58272,Kansas City,MO,64155,McDonald's
9701 N Ash Ave MO 64157,1.0,39.26794,-94.451153,Kansas City,MO,64157,McDonald's
9851 Ne Barry Rd MO 64157,0.85,39.244029,-94.46248800000001,Kansas City,MO,64158,McDonald's
8301 N Church Rd MO 64158,0.86,39.243107,-94.45963499999999,Kansas City,MO,64158,McDonald's
2210 N Baltimore St MO 63501,1.0,40.215056,-92.58223199999999,Kirksville,MO,63501,McDonald's
1401 S Baltimore St MO 63501,0.9,40.183588,-92.57208100000001,Kirksville,MO,63501,McDonald's
2210 N Baltimore St MO 63501,1.0,40.215056,-92.58223199999999,Kirksville,MO,63501,McDonald's
1401 S Baltimore St MO 63501,0.9,40.183588,-92.57208100000001,Kirksville,MO,63501,McDonald's
885 Robert Raymond Dr MO 63367,1.0,38.768727,-90.782544,Lake Saint Louis,MO,63367,McDonald's
885 Robert Raymond Dr MO 63367,1.0,38.768727,-90.782544,Lake Saint Louis,MO,63367,McDonald's
885 Robert Raymond Dr MO 63367,1.0,38.768727,-90.782544,Lake Saint Louis,MO,63367,McDonald's
885 Robert Raymond Dr MO 63367,1.0,38.768727,-90.782544,Lake Saint Louis,MO,63367,McDonald's
885 Robert Raymond Dr MO 63367,1.0,38.768727,-90.782544,Lake Saint Louis,MO,63367,McDonald's
885 Robert Raymond Dr MO 63367,1.0,38.768727,-90.782544,Lake Saint Louis,MO,63367,McDonald's
885 Robert Raymond Dr MO 63367,1.0,38.768727,-90.782544,Lake Saint Louis,MO,63367,McDonald's
885 Robert Raymond Dr MO 63367,1.0,38.768727,-90.782544,Lake Saint Louis,MO,63367,McDonald's
900 E Langsford Rd MO 64063,1.0,38.917781,-94.361899,Lees Summit,MO,64063,McDonald's
1809 Blue Pkwy MO 64063,1.0,38.903604,-94.33890500000001,Lees Summit,MO,64063,McDonald's
901 Nw Chipman Rd MO 64063,1.0,38.925345,-94.399091,Lees Summit,MO,64063,McDonald's
900 Ne Columbus St MO 64086,1.0,38.92126,-94.359712,Lees Summit,MO,64086,McDonald's
900 E Langsford Rd MO 64063,1.0,38.917781,-94.361899,Lees Summit,MO,64063,McDonald's
1809 Blue Pkwy MO 64063,1.0,38.903604,-94.33890500000001,Lees Summit,MO,64063,McDonald's
901 Nw Chipman Rd MO 64063,1.0,38.925345,-94.399091,Lees Summit,MO,64063,McDonald's
900 Ne Columbus St MO 64086,1.0,38.92126,-94.359712,Lees Summit,MO,64086,McDonald's
1304 E Highway 24 MO 65270,0.6,39.437961,-92.445983,Moberly,MO,65270,McDonald's
1501 N Morley St MO 65270,1.0,39.434248,-92.433081,Moberly,MO,65270,McDonald's
1304 E Highway 24 MO 65270,0.6,39.437961,-92.445983,Moberly,MO,65270,McDonald's
1501 N Morley St MO 65270,1.0,39.434248,-92.433081,Moberly,MO,65270,McDonald's
3200 Lusk Dr MO 64850,0.6,36.84171,-94.39426999999999,Neosho,MO,64850,McDonald's
708 S Neosho Blvd MO 64850,1.0,36.862898,-94.382068,Neosho,MO,64850,McDonald's
3200 Lusk Dr MO 64850,0.6,36.84171,-94.39426999999999,Neosho,MO,64850,McDonald's
708 S Neosho Blvd MO 64850,1.0,36.862898,-94.382068,Neosho,MO,64850,McDonald's
201 W Austin Blvd MO 64772,1.0,37.837334999999996,-94.358026,Nevada,MO,64772,McDonald's
2250 Lincoln Ave MO 89301,1.0,39.254771999999996,-114.875658,Ely,NV,89301,McDonald's
201 W Austin Blvd MO 64772,1.0,37.837334999999996,-94.358026,Nevada,MO,64772,McDonald's
2250 Lincoln Ave MO 89301,1.0,39.254771999999996,-114.875658,Ely,NV,89301,McDonald's
4001 Crusher Dr MO 63304,0.33,38.703508,-90.66752199999999,Saint Charles,MO,63304,McDonald's
2144 W Terra Ln MO 63366,1.0,38.805288,-90.769806,O Fallon,MO,63366,McDonald's
1001 N Main St MO 63366,1.0,38.822025,-90.700147,O Fallon,MO,63366,McDonald's
101 McDonald Ln MO 63366,1.0,38.801726,-90.69935100000001,O Fallon,MO,63366,McDonald's
2915 Highway K MO 63368,1.0,38.758881,-90.700941,O Fallon,MO,63368,McDonald's
4001 Crusher Dr MO 63304,0.33,38.703508,-90.66752199999999,Saint Charles,MO,63304,McDonald's
2144 W Terra Ln MO 63366,1.0,38.805288,-90.769806,O Fallon,MO,63366,McDonald's
1001 N Main St MO 63366,1.0,38.822025,-90.700147,O Fallon,MO,63366,McDonald's
101 McDonald Ln MO 63366,1.0,38.801726,-90.69935100000001,O Fallon,MO,63366,McDonald's
2915 Highway K MO 63368,1.0,38.758881,-90.700941,O Fallon,MO,63368,McDonald's
Osage Beach Pkwy MO 65065,1.0,38.131001,-92.671943,Osage Beach,MO,65065,McDonald's
4072 Highway 54 MO 65065,0.6,38.088544,-92.69074499999999,Osage Beach,MO,65065,McDonald's
Osage Beach Pkwy MO 65065,1.0,38.131001,-92.671943,Osage Beach,MO,65065,McDonald's
4072 Highway 54 MO 65065,0.6,38.088544,-92.69074499999999,Osage Beach,MO,65065,McDonald's
5699 Fox Creek Rd MO 63069,1.0,38.506475,-90.678605,Eureka,MO,63069,McDonald's
1620 W Union St MO 63069,1.0,38.484178,-90.759105,Pacific,MO,63069,McDonald's
5699 Fox Creek Rd MO 63069,1.0,38.506475,-90.678605,Eureka,MO,63069,McDonald's
1620 W Union St MO 63069,1.0,38.484178,-90.759105,Pacific,MO,63069,McDonald's
1302 S Perryville Blvd MO 63775,1.0,37.711603000000004,-89.89165,Perryville,MO,63775,McDonald's
S Perryville Blvd MO 63775,1.0,37.71137,-89.890815,Perryville,MO,63775,McDonald's
1302 S Perryville Blvd MO 63775,1.0,37.711603000000004,-89.89165,Perryville,MO,63775,McDonald's
S Perryville Blvd MO 63775,1.0,37.71137,-89.890815,Perryville,MO,63775,McDonald's
2783 N Westwood Blvd MO 63901,1.0,36.787172999999996,-90.430801,Poplar Bluff,MO,63901,McDonald's
333 S Westwood Blvd MO 63901,1.0,36.756026,-90.408245,Poplar Bluff,MO,63901,McDonald's
2783 N Westwood Blvd MO 63901,1.0,36.787172999999996,-90.430801,Poplar Bluff,MO,63901,McDonald's
333 S Westwood Blvd MO 63901,1.0,36.756026,-90.408245,Poplar Bluff,MO,63901,McDonald's
5260 Blue Ridge Blvd MO 64133,1.0,39.026517999999996,-94.442468,Raytown,MO,64133,McDonald's
8909 E State Route 350 MO 64133,1.0,38.997236,-94.478852,Kansas City,MO,64133,McDonald's
5260 Blue Ridge Blvd MO 64133,1.0,39.026517999999996,-94.442468,Raytown,MO,64133,McDonald's
8909 E State Route 350 MO 64133,1.0,38.997236,-94.478852,Kansas City,MO,64133,McDonald's
500 S Bishop Ave MO 65401,1.0,37.938696,-91.77748000000001,Rolla,MO,65401,McDonald's
1106 Kingshighway St MO 65401,1.0,37.944427000000005,-91.785588,Rolla,MO,65401,McDonald's
500 S Bishop Ave MO 65401,1.0,37.938696,-91.77748000000001,Rolla,MO,65401,McDonald's
1106 Kingshighway St MO 65401,1.0,37.944427000000005,-91.785588,Rolla,MO,65401,McDonald's
3101 W Broadway Blvd MO 65301,1.0,38.708564,-93.264932,Sedalia,MO,65301,McDonald's
1611 S Limit Ave MO 65301,0.6,38.672579,-93.251594,Sedalia,MO,65301,McDonald's
3201 W Broadway Blvd MO 65301,1.0,38.709145,-93.267354,Sedalia,MO,65301,McDonald's
3101 W Broadway Blvd MO 65301,1.0,38.708564,-93.264932,Sedalia,MO,65301,McDonald's
